"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"144274","Lebanon",446,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",440609106.75,469099806.11,406331725.94,325799863.351587,200789588.307682,-119006130.761241
"144305","Lebanon",446,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",1752502065.19,1871385042.35,1787551621.89,1691051447.72421,1642299454.99942,1733188990.52193
"144312","Lebanon",446,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",279395437.37,6274136981.2,5055891455.4,-3741619996.79509,-2696555089.73403,1664047644.94831
"144313","Lebanon",446,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-6740755421.185,-8885694248.62,-10486041104.0392,-11928664752.4008,-9816835523.18808,-1324167612.25029
"144314","Lebanon",446,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",1581946231.265,1622637588.06,1550810130.9,1411398395.28981,1474732766.65761,1707254966.1363
"144326","Lebanon",446,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",1801024787.135,1588263772.08,1647860985.26,1438231058.47099,1447760967.29165,1671296533.09283
"144327","Lebanon",446,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",19461248159.6,18882187910.53,18939938603.26,19160811512.833,18208410173.9912,8773230595.59161
"144328","Lebanon",446,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",30887607485.12,30989274709.33,32070099757.9592,32781598929.1381,31146685716.2138,15205642922.5182
"144389","Lebanon",446,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",2712886995.69,2549904004.95,2363577097.69,2046597065.08234,1876381570.40197,1785339982.24586
"144390","Lebanon",446,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",911862208.755,961640232.87,715716112.33,608366006.611348,428620603.110314,114043449.153027
"144396","Lebanon",446,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-6740755419.865,-8885694246.92,-10486041103.74,-11928664752.4008,-9816835523.1881,-1324167612.25029
