"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"4884",207270,"Saudi Arabia",456,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-57785976160.4427,-24740139502.0114,8615945196.5624,69643123966.2822,36496820029.9592,-24658808435.9469
"4885",207311,"Saudi Arabia",456,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",2688885866.66667,10493946933.3333,-331363733.333333,11796316266.6667,1682950133.33333,10290559240.2067
"4886",207312,"Saudi Arabia",456,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-2872390133.33333,-10539701866.6667,6665066933.33333,-3275202133.33333,2725126933.33333,-5759935283.492
"4887",207315,"Saudi Arabia",456,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-183504266.666667,-45754933.3333333,6333703200,8521114133.33333,4408077066.66666,4530623956.71467
"4888",207328,"Saudi Arabia",456,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",-3.48e+08,16828245333.3333,21741654077.3333,16473328336.2667,46088862333.3333,29861769600
"4889",207329,"Saudi Arabia",456,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-115368863516.379,-80348037688.2568,-39919443390.4076,392787039.748911,3047230325.1004,-46407549246.3696
"4890",207330,"Saudi Arabia",456,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-759634291.728295,-1000060282.01167,-508831030.799564,145801966.045413,875905082.685572,979947265.815676
"4891",207350,"Saudi Arabia",456,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",-1062186666.66667,-897386666.666667,-1848346666.66667,-2328737066.66667,-1733052533.33333,-1844560000
"4892",207351,"Saudi Arabia",456,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",218010394722.267,200860075477.285,239993341453.867,314916582179.44,285859922577.6,182847985098.437
"4893",207352,"Saudi Arabia",456,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",247307252133.333,198110220198.136,201975700072.876,209589393636.078,218940847166.779,182183707911.401
"4894",207354,"Saudi Arabia",456,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",20096675973.3333,16353324926.1413,15799360305.823,15713753813.3333,17674830236.669,14878746866.2806
"4895",207357,"Saudi Arabia",456,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2852648000,4382943737.6,4302010666.66667,4507626666.66667,4741034666.66667,2022342205.71765
"4896",207371,"Saudi Arabia",456,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-57785976160.4427,-24740139502.0114,8615945196.56237,69643123966.2822,36496820029.9592,-24658808435.9469
"4897",207374,"Saudi Arabia",456,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",5847318557.29067,7202942207.43847,4033147977.28805,2778899566.50967,4849159038.13176,1704181859.84522
