"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"1","Afghanistan, Islamic Rep. of",512,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",1318093915,1292837234,1305692895,1314405726,1193939877,753119494.8
"2","Afghanistan, Islamic Rep. of",512,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-2874722508,-1415625702,-2249205048,-2582431878,-2597995379,-2383613858
"3","Afghanistan, Islamic Rep. of",512,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",1318093915,1292837234,1305692895,1314405726,1193939877,753119494.8
"4","Afghanistan, Islamic Rep. of",512,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",0,0,0,0,0,0
"5","Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1417300546,1136013206,1152896050,1609472021,1515758749,1476305961
"6","Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",8462264707,7327477074,7956456168,7987638963,7370819805,6982852963
"7","Afghanistan, Islamic Rep. of",512,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",4022938.207,2788013.75,4480840.664,4326500.349,1570901.497,-2623568.43
"8","Afghanistan, Islamic Rep. of",512,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",1318093915,1292837234,1305692895,1314405726,1193939877,753119494.8
"9","Afghanistan, Islamic Rep. of",512,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",76656375.85,96681747.71,-34052492.53,138377700.1,-16194397.12,63243241.24
"10","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-2e+07,-3e+06,0,1e+06,-2476000,-3e+06
"11","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-40648338.94,-18156698.45,-15119965.44,-28769466.5,28978501.99,319651287.9
"12","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",43071212.38,11571238.47,19297003.93,26362957.93,-26628757.52,-321215841
"13","Afghanistan, Islamic Rep. of",512,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",67475.33322,1221826.329,1165905.534,48719907.55,4439420.959,7294475.039
"14","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",2422873.439,-6585459.985,4177038.49,-2406508.57,2349744.477,-1564553.055
"15","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-5305035.277,-6696615.108,-6860407.651,-23310171.05,9644556.168,-17849827.8
"16","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-20167312.22,-14839097.46,-19836271.99,-29165832.46,29487401.36,323210731.3
"17","Afghanistan, Islamic Rep. of",512,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",80679314.06,99469761.46,-29571651.87,142704200.5,-14623495.63,60619672.81
"18","Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",94543731.88,100185732.8,102985397.1,181145490.6,106551002.7,86573383.28
"19","Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",893795809,899709720.2,990501554.3,962257215.2,921789447.1,926022951.4
"20","Afghanistan, Islamic Rep. of",512,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",1318093915,1292837234,1305692895,1314405726,1193939877,753119494.8
"21","Afghanistan, Islamic Rep. of",512,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-279266965,642608936.4,592431686.7,203987094.8,100660162.3,830216423.4
"22","Afghanistan, Islamic Rep. of",512,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-2874722508,-1415625702,-2249205048,-2582431878,-2597995379,-2383613858
"23","Afghanistan, Islamic Rep. of",512,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",268572.2466,0,0,0,0,0
"24","Afghanistan, Islamic Rep. of",512,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",2163053.088,14006046.55,11260735.76,38803701.64,26321046.58,37228478.1
"25","Afghanistan, Islamic Rep. of",512,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,0,957389.3848,3042028.081,5182.183955
"26","Afghanistan, Islamic Rep. of",512,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",0,0,0,0,0,0
"27","Afghanistan, Islamic Rep. of",512,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",0,0,0,0,0,0
"28","Afghanistan, Islamic Rep. of",512,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",0,0,0,0,0,0
"29","Afghanistan, Islamic Rep. of",512,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",0,0,0,0,0,0
"30","Afghanistan, Islamic Rep. of",512,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",2163053.088,14006046.55,11260735.76,38803701.64,26321046.58,37228478.1
"31","Afghanistan, Islamic Rep. of",512,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",2163053.088,14006046.55,11260735.76,38803701.64,26321046.58,37228478.1
"32","Albania",914,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",139481001.9,72077234.25,139366726.9,121894012.2,85062453.35,165700783.6
"33","Albania",914,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",-200681008.1,224856384.8,-99247983.09,207124618.4,80109748.12,284359850.7
"34","Albania",914,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",44600209.88,-5891594.124,13158365.63,290891264.3,-81594912.16,349206064.2
"35","Albania",914,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",251523832.1,214450676,298757212.6,284896491.9,273616129,340412075.2
"36","Albania",914,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",22864667.99,30853462.76,2610920.846,64365466.41,100885605.6,62872159.71
"37","Albania",914,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",0,3587173.034,6034623.563,59574.52381,-5805261.714,9351284.848
"38","Albania",914,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",139481001.9,72077234.25,139366726.9,121711386.2,84136164.13,165073589
"39","Albania",914,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",35751061.33,65493535.52,35852979.05,70778603.23,117089601,81441278.18
"40","Albania",914,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",79310556.15,7038767.4,-106176134.4,-4513335.957,39976866.35,50098202.04
"41","Albania",914,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",393039352.8,132416398.5,225051920.6,39023087.7,-29527984.79,196136046.2
"42","Albania",914,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-271208895.6,84514749.57,-283942134.1,-273248444.7,-125798201,-145386174.6
"43","Albania",914,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3104045580,3439878230,4143794703,4784712029,4822385626,3460812843
"44","Albania",914,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",5070259616,5441410775,6122452300,6854286782,6925814672,5671285653
"45","Albania",914,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-840333044.7,-828274640,-842871953.9,-894368183.9,-1133782337,-1148870306
"46","Albania",914,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",121819195.8,216942440.4,-58890213.43,-234213064.9,-155337305.2,50726928.48
"47","Albania",914,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",53587033.74,-20644025.25,1463206.26,287795433.7,-74605536.03,341161078.3
"48","Albania",914,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",336659381.4,2594764.383,225865230.7,-34934293.92,-33894778.54,-44058297.45
"49","Albania",914,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",174953675.1,202426984.1,268306968.2,305754698,272422604.9,203362732
"50","Albania",914,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",191118745.4,234311289.6,224458295.8,252377847.8,250193796.3,205847548.2
"51","Albania",914,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-13780480.26,-32956971.91,-87877385.7,91419177.62,14378453.11,110944449.1
"52","Albania",914,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-13780480.26,-32956971.91,-87877385.7,92616536.43,14367043.89,110932974.9
"53","Albania",914,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-840332836,-828308264.9,-842859455.3,-894344262.8,-1133793574,-1148904938
"54","Albania",914,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",112042830.1,142384461.7,159378739.6,163185105.8,189896564.6,175580046.8
"55","Albania",914,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",112262415,-3418540.55,-49745631.05,-66488396.33,-50558649.03,-47417748.1
"56","Albania",914,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",251523832.1,214450676,298757212.6,285079117.9,274947946.9,341258789.7
"57","Albania",914,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",17762635.04,39381652.82,36354288.5,9449845.21,17560576.45,19806361.31
"58","Albania",914,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",169380736.1,146802211.4,306681018.4,343948148.4,518409739.7,460973410
"59","Albania",914,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",443261078.5,162867753.1,303563462.2,-40367417.42,-53428096.48,109718842.5
"60","Albania",914,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-200681008.1,221280378.1,-105270860.6,207065043.8,85926246.84,275008565.8
"61","Albania",914,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",677430653.5,48006574.82,186039517,419138872.7,-88102473.41,705493615.9
"62","Albania",914,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,27616613.86,0,0,0,0
"63","Algeria",612,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-141302587.3,-11567771.53,-771522.2521,25772974.85,17273854.33,75662556.18
"64","Algeria",612,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",106656783.8,52183662.32,20149043.81,861188400.4,64794342.75,39039435.91
"65","Algeria",612,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",101122294.4,46540881.72,-8566424.89,846211528.1,31148435.45,14605376.08
"66","Algeria",612,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-27347179851,-26271624596,-21754881842,-15841502837,-16983944439,-16503641825
"67","Algeria",612,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-105263634,-285151115.1,14151464.34,70982995.15,199623907.6,145703992.8
"68","Algeria",612,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-27037461502,-26203434864,-22066800235,-16905486278,-16954736635,-18228376626
"69","Algeria",612,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",106656783.8,52183662.32,20149043.81,861188400.4,64794342.75,39039435.91
"70","Algeria",612,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-48417536.34,759107773.9,-37081330.95,-34644871.42,-32564443.75,-23825519.15
"71","Algeria",612,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-228539396.1,-418921628.9,-87116811.58,-69886247.17,-70958534.56,-63943521.5
"72","Algeria",612,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",-48417536.34,759107773.9,-37081330.95,-34644871.42,-32564443.75,-23825519.15
"73","Algeria",612,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-54127448.91,-612980691.5,-161094676.5,-149957556.8,-1094479037,-631161707.1
"74","Algeria",612,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-27037461502,-26203434864,-22066800235,-16905486278,-16954736635,-18228363587
"75","Algeria",612,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-331496306.6,-274807125.6,-286029147.8,-253880761.7,-92581359.6,-18053296.5
"76","Algeria",612,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-228539396.1,-418921628.9,-87116811.58,-69886247.17,-70958534.56,-63943521.5
"77","Algeria",612,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-277368857.7,338173565.9,-124934471.3,-103923204.9,1001897678,613108410.6
"78","Algeria",612,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",454472.2971,922413.1173,1123579.073,434206.283,267726.5041,1364477.939
"79","Algeria",612,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",280820.7198,310940.7034,405790.5147,277963.4302,710332.6269,42690768.73
"80","Algeria",612,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",173651.5773,611472.4138,717788.5584,156242.8528,-442606.1228,-41326290.79
"81","Algeria",612,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",37905326615,32746852187,37680842572,44387318896,38551346600,24901914033
"82","Algeria",612,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",63290234977,60196342367,60083478506,60088713451,54258989925,42347048720
"83","Algeria",612,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",454472.2971,917740.5878,1123579.073,434206.283,140826.0604,314133.3542
"84","Algeria",612,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",451548.6821,917740.5878,1122830.741,434206.283,139846.7986,314133.3542
"85","Algeria",612,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",680634057,672782884.8,708954618.5,715623455.8,646654168.8,537711115.4
