,Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
0,"Afghanistan, Islamic Rep. of",6454643229,-8462,-2343996103,-2091911920,816528478
1,Albania,2023881595,-21936030,-907927679,-659423403,-14280991
2,Algeria,21329214471,-247758940,-21833583903,-43473410616,2879219825
3,Angola,-6967022783,-160079171,-287287047,-1822686101,3316107002
4,Anguilla,101523477,43537900,-113712548,-111427968,11436484
5,Antigua and Barbuda,-43825305,13963032,-63053547,-66651460,-33183223
6,Argentina,4413233291,9836709,-18693679518,-15923915842,2578142070
7,"Armenia, Rep. of",1398523464,95877215,-418293856,-139812638,250234801
8,"Aruba, Kingdom of the Netherlands",-302903215,-4824905,69536603,119528893,-2786999
9,Australia,-6429200000,6910558286,-32302661486,-31065566384,7522238026
10,Austria,-14005400000,-584983166,6516746381,6334386545,597621486
11,"Azerbaijan, Rep. of",-3813472832,52712400,2102756124,669305344,7963768
12,Bangladesh,15887212860,0,-2172597559,-26501803,5136099971
13,"Belarus, Rep. of",-149960000,158940000,-1110060000,-385987294,-1890440000
14,Belgium,-3828200000,-208110832,2153464087,2166631229,1633142404
15,Belize,110750341,0,-149315859,-202128095,39570761
16,Benin,705810030,44342285,-386951648,-331582876,329900664
17,Bermuda,611672942,-20808088,891346153,898985117,213276163
18,Bhutan,505066052,0,-359178371,-304235080,9511856
19,Bolivia,2069113001,0,-1748670257,-3539893093,377837816
20,Bosnia and Herzegovina,2926693625,-35902395,-544428584,39490984,-184801497
21,Botswana,54987010,-7538693,263070801,-280636199,204869056
22,Brazil,2505800000,-273665650,-48033620894,-49480146078,8653365932
23,Brunei Darussalam,-1405776035,50972605,1488946403,1612369773,-114445837
24,Bulgaria,-1873454000,46978000,2059500000,3798489272,-418122000
25,Burkina Faso,784535730,118501439,-483569639,-333013000,558786389
26,Cabo Verde,312492415,-688999,-59034047,-3892224,-3938978
27,Cambodia,2957461401,35475349,-1891515638,-396090275,840723212
28,Cameroon,1016213216,36413051,-1120240778,-954281113,349760680
29,Canada,34067000000,25537822350,-44743087590,-42045951913,9360257984
30,Chile,1729009819,-345587064,-9338300769,-9237886272,1441454704
31,"China, P.R.: Hong Kong",-4610400000,19334958828,14578842345,28479904392,-12866556959
32,"China, P.R.: Macao",-22886179156,6065757562,14933570858,15774072546,-168262435
33,"China, P.R.: Mainland",-210074000000,51413079956,159812260304,20722049975,55071948774
34,Colombia,13184274835,-107395584,-14012746111,-12888421932,981213684
35,"Congo, Dem. Rep. of the",1870126460,0,-1267945072,-1324630023,948639859
36,Costa Rica,-884281803,-14582328,-1568316739,-1213798949,534156625
37,"Croatia, Rep. of",-86951394,-196909357,2214830726,3495424530,-582069420
38,Curaçao and Sint Maarten,703079634,41170611,-626805515,-643262051,19751726
39,"Curaçao, Kingdom of the Netherlands",606916578,37257976,-626147112,-638325642,23853663
40,Cyprus,-284874911,-2105530748,-851320967,-847317316,-1358578907
41,Czech Rep.,-14482600000,166180629,3842656209,22571400891,-1234341927
42,Côte d'Ivoire,-809201049,122642374,-864331348,-379022788,1351639091
43,Denmark,-22567400000,3307442674,26317906984,25653882093,-8488560738
44,Djibouti,-200251314,630584,354718554,375259259,-46590858
45,Dominica,139781782,7451610,40051827,50797521,34179791
46,Dominican Rep.,3169140000,1040000,-528280000,252924123,1008440000
47,Eastern Caribbean Currency Union,269020352,65009112,-264862967,-211716227,209264595
48,Ecuador,625029485,9694000,-651869441,-877184682,931252627
49,"Egypt, Arab Rep. of",28506537200,0,-12861107269,-7110187680,-1103536000
50,El Salvador,4227754161,-29012885,-414031239,-63853238,181673703
51,"Estonia, Rep. of",-992451869,96764305,857529487,1076514293,-468145348
52,"Eswatini, Kingdom of",-4355063,-3272,270167232,234695242,28085638
