Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
"Afghanistan, Islamic Rep. of",5506547002.0,-1564553.1000000238,-2383613858.0,-1553397434.6,839449568.12
Albania,2210472810.0,50749871.599999994,-1148904938.0,-443376690.1,2484816.199999988
Algeria,17445134687.0,-18053296.5,-18228363587.0,-34732018451.0,2042610082.6
Angola,-5858757657.0,-154604098.29999995,873133751.7,-1945375961.3,2035429912.47
Anguilla,114163415.76,-88252526.852,-81803098.5,-87702357.759,8281523.455999999
Antigua and Barbuda,148470412.0,-1903703.6999999993,-191144005.4,-248472236.18,25142673.159999996
Argentina,-12094415411.0,96231788.0,2853124479.0,-4059793046.0,863342033.0
"Armenia, Rep. of",1264106213.0,-131891733.29999995,-325971769.0,-603562270.1,181554259.7
"Aruba, Kingdom of the Netherlands",200488450.0,11232427.900000006,-304252750.9,-115877890.59999996,44256469.53
Australia,-50453000000.0,-4433408624.0,31790211693.0,15039810845.0,6021363359.0
Austria,-12998000000.0,846076882.0,12418586619.0,14156351487.0,318086945.0
"Azerbaijan, Rep. of",329066000.0,-307134000.0,-234943000.0,-159315145.0,-342693000.0
Bangladesh,18300384906.0,47004532.0,1406228336.0,11291366037.0,4381083272.0
"Belarus, Rep. of",-1947600000.0,99100000.0,-171100000.0,-2850197906.0,-1914300000.0
Belgium,-8879000000.0,-3299711234.0,5410959881.0,6437583669.0,-811493948.0
Belize,187195108.39999998,0.0,-113646287.2,-44921591.21000001,35791377.43
Benin,435724020.0,-124545270.39999998,-98964198.83,194006208.7,241527209.50000003
Bermuda,696022077.0,479171703.0,853849630.4,871374883.4,116231547.07999998
Bhutan,401795399.79999995,0.0,-237140220.1,4312041.900000006,19682905.740000002
Bolivia,634879464.0,0.0,-14107329.13,-1767910052.13,379585526.3
Bosnia and Herzegovina,2789464928.0,-8894197.800000072,-446856780.0,290963659.70000005,-162180316.99999997
Botswana,2850596682.0,15257307.24000001,-1531276190.0,-3284379837.0,214731154.55
Brazil,-7713000000.0,-110597239.0,-24066679561.0,-38282026385.0,6962291897.0
Brunei Darussalam,-503987342.0,23089500.700000048,513713114.6,67856846.60000002,82937883.0
