Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
"Afghanistan, Islamic Rep. of",6454643229.0,-8462.429999998956,-2343996103.0,-2091911919.9599998,816528478.1439999
Albania,2023881595.4,-21936030.204000004,-907927678.6,-659423402.978,-14280991.079999983
Algeria,21329214471.2,-247758940.14200002,-21833583902.8,-43473410615.8,2879219825.2200003
Angola,-6967022782.6,-160079170.62799996,-287287046.9799999,-1822686101.4399998,3316107001.702
Anguilla,101523476.78000002,43537899.8446,-113712547.7268,-111427968.09791999,11436483.706
Antigua and Barbuda,-43825304.8,13963031.984299999,-63053547.13200001,-66651459.756,-33183222.953999996
Argentina,4413233290.8,9836708.6,-18693679518.0,-15923915841.6,2578142070.4
"Armenia, Rep. of",1398523463.8,95877215.396,-418293856.39,-139812637.55,250234801.1
"Aruba, Kingdom of the Netherlands",-302903214.8,-4824905.273000002,69536602.738,119528893.246,-2786998.799999994
Australia,-6429200000.0,6910558285.88,-32302661486.0,-31065566384.2,7522238026.2
Austria,-14005400000.0,-584983165.8599999,6516746380.8,6334386545.0,597621486.2
"Azerbaijan, Rep. of",-3813472832.0,52712400.0,2102756123.8,669305344.3199999,7963768.0
Bangladesh,15887212859.8,0.0,-2172597558.6,-26501802.620000076,5136099970.539999
"Belarus, Rep. of",-149960000.0,158940000.0,-1110060000.0,-385987293.6,-1890440000.0
Belgium,-3828200000.0,-208110832.2,2153464087.2,2166631228.612,1633142403.6
Belize,110750341.16,0.0,-149315858.98000002,-202128095.41399997,39570760.508
Benin,705810030.4,44342284.50400002,-386951647.52,-331582875.65200007,329900664.18
Bermuda,611672941.8,-20808087.661999993,891346152.8,898985117.2400001,213276162.93
Bhutan,505066052.32000005,0.0,-359178370.84,-304235079.86380005,9511855.575999998
Bolivia,2069113001.0,0.0,-1748670257.4,-3539893092.9199996,377837815.7600001
Bosnia and Herzegovina,2926693624.8,-35902395.470000006,-544428584.02,39490983.64,-184801496.97999996
Botswana,54987009.8,-7538692.822,263070800.64400005,-280636198.82199997,204869055.616
Brazil,2505800000.0,-273665650.2,-48033620894.4,-49480146078.2,8653365932.2
Brunei Darussalam,-1405776035.0,50972605.36,1488946402.8799999,1612369773.362,-114445837.14000002
Bulgaria,-1873454000.0,46978000.0,2059500000.0,3798489271.5439997,-418122000.0
Burkina Faso,784535730.0,118501439.41999999,-483569639.17999995,-333012999.70400006,558786388.518
Cabo Verde,312492414.84,-688998.5395999994,-59034047.398399994,-3892223.9984000027,-3938977.6440000026
Cambodia,2957461401.2,35475348.55999999,-1891515637.6,-396090275.14,840723212.3399999
Cameroon,1016213216.4,36413051.15999999,-1120240778.3799999,-954281112.9599998,349760679.85999995
Canada,34067000000.0,25537822350.4,-44743087590.0,-42045951912.659996,9360257984.0
Chile,1729009819.2,-345587064.04,-9338300769.0,-9237886272.22,1441454704.0
"China, P.R.: Hong Kong",-4610400000.0,19334958828.4,14578842344.8,28479904391.920002,-12866556959.4
"China, P.R.: Macao",-22886179155.6,6065757562.212,14933570858.2,15774072545.940002,-168262435.0
"China, P.R.: Mainland",-210074000000.0,51413079955.8,159812260303.6,20722049974.8,55071948774.0
Colombia,13184274835.0,-107395584.2,-14012746111.2,-12888421932.34,981213684.4
"Congo, Dem. Rep. of the",1870126460.2,0.0,-1267945072.44,-1324630022.924,948639858.636
Costa Rica,-884281803.4,-14582328.436200013,-1568316739.34,-1213798948.7999997,534156625.0799999
"Croatia, Rep. of",-86951394.4,-196909357.064,2214830726.4,3495424530.3,-582069420.14
Curaçao and Sint Maarten,703079634.2,41170611.489980005,-626805515.1,-643262051.4216001,19751726.336000003
"Curaçao, Kingdom of the Netherlands",606916577.8,37257976.136199996,-626147112.26,-638325641.8720001,23853663.367999997
Cyprus,-284874910.8,-2105530747.8,-851320967.33,-847317315.7665999,-1358578906.6
Czech Rep.,-14482600000.0,166180629.18,3842656209.0,22571400891.2,-1234341927.2
Côte d'Ivoire,-809201048.8,122642373.6,-864331348.184,-379022788.344,1351639091.0600002
Denmark,-22567400000.0,3307442673.6839995,26317906983.8,25653882093.0,-8488560737.8
Djibouti,-200251313.8,630583.9080000103,354718553.7264,375259259.4624,-46590858.38000002
Dominica,139781781.64,7451609.96462,40051826.506,50797521.37339999,34179790.5569
Dominican Rep.,3169140000.0,1040000.0,-528280000.0,252924123.44,1008440000.0
Eastern Caribbean Currency Union,269020351.8,65009111.66199998,-264862967.39399996,-211716227.45760003,209264595.27999997
Ecuador,625029485.2,9694000.0,-651869440.688,-877184681.9880002,931252626.9
"Egypt, Arab Rep. of",28506537200.0,0.0,-12861107269.4,-7110187679.8,-1103536000.0
El Salvador,4227754161.0,-29012884.554000013,-414031238.58000004,-63853237.76099999,181673703.42000002
"Estonia, Rep. of",-992451868.6,96764305.3,857529487.02,1076514293.228,-468145347.8
"Eswatini, Kingdom of",-4355063.4,-3272.298000000045,270167232.13,234695241.818,28085638.456140004
Euro Area,-449906000000.0,102039041934.8,341610800000.0,354621531856.5,-14202000000.0
"Fiji, Rep. of",324864897.4,13432264.878,-369104469.68,-330270838.7172,-59477148.760000005
Finland,1457827633.2,-2620004761.3599997,-2815359833.54,-2728896871.4779997,1912778375.4
France,20593800000.0,104808220752.6,-8965832536.6,-4458336664.0,4878722358.0
"Gambia, The",252332772.57999998,0.0,-35700129.572000004,-38216244.508000016,44394762.7122
Georgia,2026247355.0,41919556.54800004,-1372437253.94,-1283949558.062,143601390.3
Germany,-249516000000.0,19345606651.8,301700800000.0,301269836746.1,2982177015.4
Ghana,2216944387.2,1012261665.214,-2012535249.4,-1587578265.7319999,1537068056.42
Greece,2106617740.0,-1383019300.72,-2459123922.68,-2223654941.94,-5725893917.6
Grenada,33528954.640000008,-2189894.413,-97902097.246,-84524255.76259999,46654379.696
Guatemala,6892252502.0,122164732.0,639504996.0,2102669001.7800002,963814406.0
Guinea,696627261.8,-2588811.0799999954,-605794111.04,-481579193.5360001,389908845.84000003
Guinea-Bissau,88678942.12000002,12076056.2882,23413798.802,63649081.4406,45104861.512462005
Guyana,1235195906.4,-1041763.3359999985,-870676105.4360001,-908466940.1586001,235614961.03460002
Honduras,3912404060.8,2674433.2399999974,-813389051.16,-361455016.66200006,920247860.0600001
