"Country","Trade_Balance","Trade_Balance_mean","income_Balance","income_Balance_mean","transport_Balance","transport_Balance_mean"
"Afghanistan, Islamic Rep. of",-37779763147,-6296627191.16667,-58904411.094465,-9817401.8490775,-4922091958.84,-820348659.806667
"Albania",-12329880787,-2054980131.16667,-1805879904.67,-300979984.111667,68920139.2,11486689.8666667
"Algeria",-124091207043,-20681867840.5,-28472194695.37,-4745365782.56167,-16438709208.7,-2739784868.11667
"Angola",40693871570,6782311928.33333,-24039922104,-4006653684,-18615964920.98,-3102660820.16333
"Anguilla",-621780799.66,-103630133.276667,-120088697.62761,-20014782.937935,-65463941.986,-10910656.9976667
"Antigua and Barbuda",70656112,11776018.6666667,-345036031.5989,-57506005.2664833,140773441.61,23462240.2683333
"Argentina",-9971751043,-1661958507.16667,-39633665804.6,-6605610967.43333,-13754052385,-2292342064.16667
"Armenia, Rep. of",-8256723532,-1376120588.66667,-797449885.4645,-132908314.244083,-1432728265.2,-238788044.2
"Aruba, Kingdom of the Netherlands",1314027624,219004604,-586917377.63,-97819562.9383333,-30321475.5299999,-5053579.25499998
"Australia",8.2599e+10,13766500000,-112922566415,-18820427735.8333,-43632553490,-7272092248.33333
"Austria",8.3025e+10,13837500000,8251523126,1375253854.33333,-3306194376,-551032396
"Azerbaijan, Rep. of",18738298160,3123049693.33333,-10164943000,-1694157166.66667,302874160,50479026.6666667
"Bangladesh",-97736449205,-16289408200.8333,-10741249069.62,-1790208178.27,-30061583124.7,-5010263854.11667
"Belarus, Rep. of",2697400000,449566666.666667,-10361300000,-1726883333.33333,11366500000,1894416666.66667
"Belgium",2.802e+10,4.67e+09,-5849317588,-974886264.666667,-7354218070,-1225703011.66667
"Belize",-740946814.2,-123491135.7,-462078693.953,-77013115.6588333,-233645179.97,-38940863.3283333
"Benin",-3964774172,-660795695.333333,-170720771,-28453461.8333333,-1891030530.4,-315171755.066667
"Bermuda",-3754386786,-625731131,-45643397.49,-7607232.915,-1182612361.73,-197102060.288333
"Bhutan",-2927125661.4,-487854276.9,-7802988.5743,-1300498.09571667,-67242183.62,-11207030.6033333
"Bolivia",-10980444469,-1830074078.16667,-4122197315.4028,-687032885.900467,-2268774605.1,-378129100.85
"Bosnia and Herzegovina",-17422933052,-2903822175.33333,-3047007110.5076,-507834518.417933,1086187801.9,181031300.316667
"Botswana",-3125531731,-520921955.166667,-5405128150.4898,-900854691.7483,-1239076432.63,-206512738.771667
"Brazil",-4.816e+09,-802666666.666667,-167986829502,-27997804917,-50229121558,-8371520259.66667
"Bulgaria",10711180000,1785196666.66667,-19515890000,-3252648333.33333,2576260000,429376666.666667
"Burkina Faso",-3345862945,-557643824.166667,-2609646824.3,-434941137.383333,-3234114809.26,-539019134.876667
"Cabo Verde",-2146886282.2,-357814380.366667,-134992318.1158,-22498719.6859667,15956736.98,2659456.16333334
"Cambodia",-17588298803,-2931383133.83333,-8566143076.631,-1427690512.77183,-5207366001.7,-867894333.616667
"Cameroon",-6169078882,-1028179813.66667,-2854243017.287,-475707169.547833,-1944992818,-324165469.666667
"Canada",-2.07164e+11,-34527333333.3333,105404755291,17567459215.1667,-54165339195,-9027556532.5
"Chile",2799291023,466548503.833333,-60249459390.4,-10041576565.0667,-9079310626,-1513218437.66667
"China, P.R.: Hong Kong",2.9716e+10,4952666666.66667,-9.3356e+10,-15559333333.3333,73432265231,12238710871.8333
"China, P.R.: Macao",114945305469,19157550911.5,-36597578229.48,-6099596371.58,664226176.2,110704362.7
"Colombia",-79026125330,-13171020888.3333,-18012598435,-3002099739.16667,-5954164281,-992360713.5
"Congo, Dem. Rep. of the",-9974972227,-1662495371.16667,-2696865846.2,-449477641.033333,-5795714496.43,-965952416.071667
"Costa Rica",6898288171,1149714695.16667,-14651612831.3,-2441935471.88333,-2978436708.9,-496406118.15
"Côte d'Ivoire",4617599407,769599901.166667,-5999705345.74,-999950890.956667,-8168721248.3,-1361453541.38333
"Croatia, Rep. of",-3512622238,-585437039.666667,-7742885906.2,-1290480984.36667,3225615131.9,537602521.983333
"Curaçao and Sint Maarten",-4443660943,-740610157.166667,-250977506.53,-41829584.4216667,-112772400.63,-18795400.105
"Curaçao, Kingdom of the Netherlands",-3729065504,-621510917.333333,-239959343.221,-39993223.8701667,-143016895.56,-23836149.26
"Cyprus",1092175837,182029306.166667,581963097,96993849.5,8344808930,1390801488.33333
"Czech Rep.",8.9121e+10,14853500000,-83944207475,-13990701245.8333,7047691943,1174615323.83333
"Denmark",1.35759e+11,22626500000,47067807393,7844634565.5,52503763161,8750627193.5
"Djibouti",1271361055,211893509.166667,NA,NA,308801984.6,51466997.4333333
"Dominica",-906868539.16,-151144756.526667,-24248857.457523,-4041476.2429205,-193943181.1106,-32323863.5184333
"Dominican Rep.",-21258200000,-3543033333.33333,-1.5564e+10,-2.594e+09,-6109300000,-1018216666.66667
"Eastern Caribbean Currency Union",-2438276702,-406379450.333333,-1739797596.653,-289966266.108833,-1249760788.13,-208293464.688333
"Ecuador",-628159732,-104693288.666667,-2612879701.9,-435479950.316667,-5109555050.7,-851592508.45
"Egypt, Arab Rep. of",-174913379000,-29152229833.3333,-32474600000,-5412433333.33333,4616590000,769431666.666667
"El Salvador",-25462838060,-4243806343.33333,-5053129103.1167,-842188183.852783,-1208786091.9,-201464348.65
"Estonia, Rep. of",4918345241,819724206.833333,-7001112388.9,-1166852064.81667,2623546207,437257701.166667
"Eswatini, Kingdom of",143402392,23900398.6666667,-2084316431.43,-347386071.905,-172193483.8221,-28698913.97035
"Euro Area",2.62712e+12,437853333333.333,5.74088e+11,95681333333.3333,7.3852e+10,12308666666.6667
