"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5",5,"Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1417300546,1136013206,1152896050,1609472021,1515758749,1476305961
"6",6,"Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",8462264707,7327477074,7956456168,7987638963,7370819805,6982852963
"13",13,"Afghanistan, Islamic Rep. of",512,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",67475.33322,1221826.329,1165905.534,48719907.55,4439420.959,7294475.039
"18",18,"Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",94543731.88,100185732.8,102985397.1,181145490.6,106551002.7,86573383.28
"19",19,"Afghanistan, Islamic Rep. of",512,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",893795809,899709720.2,990501554.3,962257215.2,921789447.1,926022951.4
"25",25,"Afghanistan, Islamic Rep. of",512,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,0,957389.3848,3042028.081,5182.183955
"43",43,"Albania",914,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3104045580,3439878230,4143794703,4784712029,4822385626,3460812843
"44",44,"Albania",914,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",5070259616,5441410775,6122452300,6854286782,6925814672,5671285653
"49",49,"Albania",914,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",174953675.1,202426984.1,268306968.2,305754698,272422604.9,203362732
"50",50,"Albania",914,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",191118745.4,234311289.6,224458295.8,252377847.8,250193796.3,205847548.2
"57",57,"Albania",914,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",17762635.04,39381652.82,36354288.5,9449845.21,17560576.45,19806361.31
"58",58,"Albania",914,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",169380736.1,146802211.4,306681018.4,343948148.4,518409739.7,460973410
"81",81,"Algeria",612,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",37905326615,32746852187,37680842572,44387318896,38551346600,24901914033
"82",82,"Algeria",612,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",63290234977,60196342367,60083478506,60088713451,54258989925,42347048720
"85",85,"Algeria",612,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",680634057,672782884.8,708954618.5,715623455.8,646654168.8,537711115.4
"86",86,"Algeria",612,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",3690355801,3613016018,3474445355,3612430381,3430500756,2580321198
"87",87,"Algeria",612,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",72680213.59,384745306.4,712244160.3,36769280.54,121306591.5,136580962.3
"88",88,"Algeria",612,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",6478575656,3970671458,4819901399,5689406512,5214533911,3763432274
"90",150,"Angola",614,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",34437293544,28299767213,35598035306,41388891319,35180142878,21004445129
"91",151,"Angola",614,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",37968764913,25657029920,28256537256,25887355607,22299328651,15145687472
"93",153,"Angola",614,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",4291998806,3027846238,4883342721,5097094753,4695190552,2188522434
"103",163,"Angola",614,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",25297552.43,32634214.49,23111939.08,27902711.24,31837859.25,8531917.53
"105",165,"Angola",614,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4058035115,3109728471,3108468021,3320012689,3125074989,2043961830
"119",179,"Angola",614,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,21003800,3540000,9589800,109939800
"121",181,"Anguilla",312,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",22595987.78,21816808.39,20259715.02,31176941.33,30545527.47,15490076.87
