"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
1,2,"Afghanistan, Islamic Rep. of",512,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-2874722508,-1415625702,-2249205048,-2582431878,-2597995379,-2383613858
2,5,"Afghanistan, Islamic Rep. of",512,"Current_Account_Credit","BXGS_BP6_USD",1417300546,1136013206,1152896050,1609472021,1515758749,1476305961
3,6,"Afghanistan, Islamic Rep. of",512,"Current_Account_Debit","BMGS_BP6_USD",8462264707,7327477074,7956456168,7987638963,7370819805,6982852963
4,11,"Afghanistan, Islamic Rep. of",512,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-40648338.94,-18156698.45,-15119965.44,-28769466.5,28978501.99,319651287.9
5,12,"Afghanistan, Islamic Rep. of",512,"Financial_Loans_Total","BFOLN_BP6_USD",43071212.38,11571238.47,19297003.93,26362957.93,-26628757.52,-321215841
6,18,"Afghanistan, Islamic Rep. of",512,"Transport_Services_Credit","BXSTR_BP6_USD",94543731.88,100185732.8,102985397.1,181145490.6,106551002.7,86573383.28
7,19,"Afghanistan, Islamic Rep. of",512,"Transport_Services_Debit","BMSTR_BP6_USD",893795809,899709720.2,990501554.3,962257215.2,921789447.1,926022951.4
8,21,"Afghanistan, Islamic Rep. of",512,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-279266965,642608936.4,592431686.7,203987094.8,100660162.3,830216423.4
9,22,"Afghanistan, Islamic Rep. of",512,"Supplementary_Current_Capital","BTCC_BP6_USD",-2874722508,-1415625702,-2249205048,-2582431878,-2597995379,-2383613858
10,41,"Albania",914,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",393039352.8,132416398.5,225051920.6,39023087.7,-29527984.79,196136046.2
11,42,"Albania",914,"Financial_Loans_Total","BFOLN_BP6_USD",-271208895.6,84514749.57,-283942134.1,-273248444.7,-125798201,-145386174.6
12,43,"Albania",914,"Current_Account_Credit","BXGS_BP6_USD",3104045580,3439878230,4143794703,4784712029,4822385626,3460812843
13,44,"Albania",914,"Current_Account_Debit","BMGS_BP6_USD",5070259616,5441410775,6122452300,6854286782,6925814672,5671285653
14,45,"Albania",914,"Supplementary_Current_Capital","BTCC_BP6_USD",-840333044.7,-828274640,-842871953.9,-894368183.9,-1133782337,-1148870306
15,49,"Albania",914,"Transport_Services_Credit","BXSTR_BP6_USD",174953675.1,202426984.1,268306968.2,305754698,272422604.9,203362732
16,50,"Albania",914,"Transport_Services_Debit","BMSTR_BP6_USD",191118745.4,234311289.6,224458295.8,252377847.8,250193796.3,205847548.2
17,53,"Albania",914,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-840332836,-828308264.9,-842859455.3,-894344262.8,-1133793574,-1148904938
18,61,"Albania",914,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",677430653.5,48006574.82,186039517,419138872.7,-88102473.41,705493615.9
19,66,"Algeria",612,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-27347179851,-26271624596,-21754881842,-15841502837,-16983944439,-16503641825
20,68,"Algeria",612,"Supplementary_Current_Capital","BTCC_BP6_USD",-27037461502,-26203434864,-22066800235,-16905486278,-16954736635,-18228376626
21,73,"Algeria",612,"Financial_Loans_Total","BFOLN_BP6_USD",-54127448.91,-612980691.5,-161094676.5,-149957556.8,-1094479037,-631161707.1
22,74,"Algeria",612,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-27037461502,-26203434864,-22066800235,-16905486278,-16954736635,-18228363587
23,77,"Algeria",612,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-277368857.7,338173565.9,-124934471.3,-103923204.9,1001897678,613108410.6
24,81,"Algeria",612,"Current_Account_Credit","BXGS_BP6_USD",37905326615,32746852187,37680842572,44387318896,38551346600,24901914033
25,82,"Algeria",612,"Current_Account_Debit","BMGS_BP6_USD",63290234977,60196342367,60083478506,60088713451,54258989925,42347048720
26,85,"Algeria",612,"Transport_Services_Credit","BXSTR_BP6_USD",680634057,672782884.8,708954618.5,715623455.8,646654168.8,537711115.4
27,86,"Algeria",612,"Transport_Services_Debit","BMSTR_BP6_USD",3690355801,3613016018,3474445355,3612430381,3430500756,2580321198
28,150,"Angola",614,"Current_Account_Credit","BXGS_BP6_USD",34437293544,28299767213,35598035306,41388891319,35180142878,21004445129
29,151,"Angola",614,"Current_Account_Debit","BMGS_BP6_USD",37968764913,25657029920,28256537256,25887355607,22299328651,15145687472
30,154,"Angola",614,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-10266566180,-3084605245,-630241494.9,7405537615,5139440070,873133751.7
31,160,"Angola",614,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",-902693588.3,10772685040,-317671864.7,-83097912.76,-1897360698,-1066592705
32,161,"Angola",614,"Financial_Loans_Total","BFOLN_BP6_USD",687050548,-11085693029,61022412.82,285047949.8,1680315289,911988606.7
33,163,"Angola",614,"Transport_Services_Credit","BXSTR_BP6_USD",25297552.43,32634214.49,23111939.08,27902711.24,31837859.25,8531917.53
34,165,"Angola",614,"Transport_Services_Debit","BMSTR_BP6_USD",4058035115,3109728471,3108468021,3320012689,3125074989,2043961830
35,168,"Angola",614,"Supplementary_Current_Capital","BTCC_BP6_USD",-10266566180,-3084605245,-630241494.9,7405537615,5139440070,873133751.7
36,171,"Angola",614,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-3059154773,370006780.6,-5006997607,-947719437.9,966869765,-2818509713
37,181,"Anguilla",312,"Transport_Services_Debit","BMSTR_BP6_USD",22595987.78,21816808.39,20259715.02,31176941.33,30545527.47,15490076.87
